Week,Start,End,Contacts made,Meetings planned,Meetings performed
12,Mar-20,Mar-26,1.0,1.0,1.0
13,Mar-27,Apr-02,4.0,2.0,2.0
14,Apr-03,Apr-09,4.0,2.0,2.0
16,Apr-17,Apr-23,2.0,2.0,2.0
17,Apr-24,Apr-30,0.0,0.0,1.0
19,May-08,May-14,4.0,6.0,5.0
20,May-15,May-21,0.0,1.0,0.0
21,May-22,May-28,1.0,0.0,0.0
22,May-29,Jun-04,0.0,1.0,1.0
23,Jun-05,Jun-11,3.0,1.0,1.0
24,Jun-12,Jun-18,4.0,2.0,3.0
25,Jun-19,Jun-25,3.0,2.0,1.0
33,Aug-14,Aug-20,8.0,1.0,2.0
34,Aug-21,Aug-27,0.0,1.0,0.0
35,Aug-28,Sep-03,0.0,1.0,0.0
36,Sep-04,Sep-10,0.0,1.0,0.0
